# intervals of 250 kb - CHR	BP-start
2	1
2	250001
2	500001
2	750001
2	1000001
2	1250001
2	1500001
2	1750001
2	2000001
2	2250001
2	2500001
2	2750001
2	3000001
2	3250001
2	3500001
2	3750001
2	4000001
2	4250001
2	4500001
2	4750001
2	5000001
2	5250001
2	5500001
2	5750001
2	6000001
2	6250001
4	1
4	250001
4	500001
4	750001
4	1000001
4	1250001
4	1500001
4	1750001
4	2000001
4	2250001
4	2500001
4	2750001
4	3000001
4	3250001
4	3500001
4	3750001
4	4000001
4	4250001
4	4500001
4	4750001
4	5000001
4	5250001
4	5500001
4	5750001
4	6000001
4	6250001
4	6500001
4	6750001
4	7000001
4	7250001
4	7500001
4	7750001
4	8000001
4	8250001
4	8500001
4	8750001
4	9000001
4	9250001
4	9500001
4	9750001
4	10000001
4	10250001
4	10500001
4	10750001
4	11000001
4	11250001
4	11500001
4	11750001
4	12000001
4	12250001
4	12500001
4	12750001
6	1
6	250001
6	500001
6	750001
6	1000001
6	1250001
6	1500001
6	1750001
6	2000001
6	2250001
6	2500001
6	2750001
6	3000001
6	3250001
6	3500001
6	3750001
6	4000001
6	4250001
6	4500001
6	4750001
6	5000001
6	5250001
6	5500001
6	5750001
6	6000001
6	6250001
6	6500001
6	6750001
6	7000001
6	7250001
6	7500001
6	7750001
6	8000001
6	8250001
6	8500001
6	8750001
6	9000001
6	9250001
6	9500001
6	9750001
6	10000001
6	10250001
6	10500001
6	10750001
6	11000001
6	11250001
6	11500001
6	11750001
8	1
8	250001
8	500001
8	750001
8	1000001
8	1250001
8	1500001
8	1750001
8	2000001
8	2250001
8	2500001
8	2750001
8	3000001
8	3250001
8	3500001
8	3750001
8	4000001
8	4250001
8	4500001
8	4750001
8	5000001
8	5250001
8	5500001
8	5750001
8	6000001
8	6250001
8	6500001
8	6750001
8	7000001
8	7250001
8	7500001
8	7750001
8	8000001
8	8250001
8	8500001
8	8750001
8	9000001
8	9250001
8	9500001
8	9750001
8	10000001
8	10250001
8	10500001
8	10750001
8	11000001
8	11250001
10	1
10	250001
10	500001
10	750001
10	1000001
10	1250001
10	1500001
10	1750001
10	2000001
10	2250001
10	2500001
10	2750001
10	3000001
10	3250001
10	3500001
12	1
12	250001
12	500001
12	750001
12	1000001
12	1250001
12	1500001
12	1750001
12	2000001
12	2250001
12	2500001
12	2750001
12	3000001
12	3250001
12	3500001
12	3750001
12	4000001
12	4250001
12	4500001
12	4750001
12	5000001
12	5250001
12	5500001
12	5750001
12	6000001
12	6250001
12	6500001
12	6750001
12	7000001
12	7250001
12	7500001
12	7750001
12	8000001
12	8250001
12	8500001
12	8750001
12	9000001
12	9250001
12	9500001
12	9750001
12	10000001
12	10250001
12	10500001
12	10750001
12	11000001
12	11250001
12	11500001
14	1
14	250001
14	500001
14	750001
14	1000001
14	1250001
14	1500001
14	1750001
14	2000001
14	2250001
14	2500001
14	2750001
14	3000001
14	3250001
14	3500001
14	3750001
14	4000001
14	4250001
14	4500001
14	4750001
14	5000001
14	5250001
14	5500001
14	5750001
14	6000001
14	6250001
14	6500001
14	6750001
14	7000001
14	7250001
14	7500001
14	7750001
14	8000001
14	8250001
14	8500001
14	8750001
14	9000001
14	9250001
14	9500001
14	9750001
16	1
16	250001
16	500001
16	750001
16	1000001
16	1250001
16	1500001
16	1750001
16	2000001
16	2250001
16	2500001
16	2750001
16	3000001
16	3250001
16	3500001
16	3750001
16	4000001
16	4250001
16	4500001
16	4750001
16	5000001
16	5250001
16	5500001
16	5750001
16	6000001
16	6250001
16	6500001
16	6750001
16	7000001
16	7250001
16	7500001
16	7750001
16	8000001
16	8250001
16	8500001
16	8750001
16	9000001
16	9250001
16	9500001
16	9750001
16	10000001
18	1
18	250001
18	500001
18	750001
18	1000001
18	1250001
18	1500001
18	1750001
18	2000001
18	2250001
18	2500001
18	2750001
18	3000001
18	3250001
18	3500001
18	3750001
18	4000001
18	4250001
18	4500001
18	4750001
18	5000001
18	5250001
18	5500001
18	5750001
18	6000001
18	6250001
18	6500001
18	6750001
18	7000001
18	7250001
18	7500001
18	7750001
18	8000001
18	8250001
18	8500001
18	8750001
18	9000001
18	9250001
18	9500001
18	9750001
18	10000001
18	10250001
18	10500001
20	1
20	250001
20	500001
20	750001
20	1000001
20	1250001
20	1500001
20	1750001
20	2000001
20	2250001
20	2500001
20	2750001
20	3000001
20	3250001
20	3500001
20	3750001
20	4000001
20	4250001
20	4500001
20	4750001
20	5000001
20	5250001
20	5500001
20	5750001
20	6000001
20	6250001
20	6500001
20	6750001
20	7000001
20	7250001
20	7500001
20	7750001
20	8000001
20	8250001
20	8500001
20	8750001
20	9000001
20	9250001
22	1
22	250001
22	500001
22	750001
22	1000001
22	1250001
22	1500001
22	1750001
22	2000001
22	2250001
22	2500001
22	2750001
22	3000001
22	3250001
22	3500001
22	3750001
22	4000001
22	4250001
22	4500001
22	4750001
22	5000001
22	5250001
22	5500001
22	5750001
22	6000001
22	6250001
22	6500001
22	6750001
22	7000001
22	7250001
22	7500001
22	7750001
22	8000001
22	8250001
22	8500001
22	8750001
22	9000001
22	9250001
22	9500001
22	9750001
22	10000001
22	10250001
22	10500001
22	10750001
22	11000001
22	11250001
22	11500001
22	11750001
22	12000001
22	12250001
22	12500001
22	12750001
24	1
24	250001
24	500001
24	750001
24	1000001
24	1250001
24	1500001
24	1750001
24	2000001
24	2250001
24	2500001
24	2750001
24	3000001
24	3250001
24	3500001
26	1
26	250001
26	500001
26	750001
